,0
PTCH2,0
GSTM5,1
MCM5,0
GYPA,3
HIST1H2AH,0
NCOR2,0
ZNF367,0
MAL2,1
C7orf46,0
C9orf103,0
HSPB8,0
NEO1,0
ZNF215,0
ERI1,1
HMGCLL1,0
SLC16A4,3
SPAG6,0
ODZ2,0
FLNA,0
MKRN3,0
ITGB3,0
FREM3,4
TEAD3,0
GLT1D1,0
NEUROD4,5
APOLD1,0
ENTPD3,9
OSBPL6,0
PCDHB11,0
MIR138-2,0
PACSIN1,0
SLC26A11,0
IL18,1
ADAM28,0
KLK6,2
MT1X,0
SEPP1,0
LOC642947,0
VASH2,0
NUDT7,4
RAD51,0
MID1,0
ITGA2B,0
PTDSS1,0
CYBB,0
REEP1,0
RAMP2,8
INSC,1
VTRNA1-1,0
CRYAB,0
MICAL2,4
LAMA5,0
BLM,0
RALB,0
SH3RF3,1
C4orf6,0
TBC1D4,3
AURKA,0
ZFY,5
MS4A6A,0
AQP1,0
SPHK1,0
RHBDL3,1
PRPS2,0
SLITRK3,0
AIF1L,0
PRRT1,0
KCNQ4,0
ZNF83,6
BIRC5,0
RBMS2,0
CDH23,0
CNTNAP4,0
EFCAB5,0
SH3RF1,7
KAL1,0
PBX4,0
LHFP,4
PROX1,0
MIR181A2,0
ANO4,1
MED12L,0
AKAP6,0
SNORD61,0
ETS1,3
TRIM46,4
EIF3H,0
CCNJL,0
JAKMIP1,0
CCL2,0
LONRF2,0
CLVS2,0
EGLN3,0
MEPE,0
HELB,0
EDA2R,0
CLCN4,0
FBLN1,3
LOC389834,4
CACNA1A,1
NUDT9P1,0
LHX5,0
RSPH4A,0
MPDZ,0
TMEM229B,0
KLHL2,3
B3GNT5,0
C20orf26,1
C5AR1,2
PLCB3,0
HMGB2,0
WLS,0
C20orf203,2
PLK4,0
C20orf96,5
ULK2,4
KLHL35,0
C6orf138,0
FAM59A,1
POPDC3,9
TESK2,0
CRISPLD1,5
CRIP3,0
CHRDL1,2
SERPINF1,0
RAB15,0
DLX1,0
C9orf64,4
FGFR1,8
NKAIN4,0
PPFIBP2,0
FST,0
HIST1H4B,0
DUSP26,0
CYP1B1,0
C17orf104,2
SCNN1B,3
ZFP36L2,0
HN1,0
C2orf66,0
ABCA1,1
UNCX,0
TXLNB,13
C4orf46,0
SLC7A8,0
NDST3,0
C18orf54,0
SPRY2,2
CXCR4,0
STXBP5L,7
RAB26,0
ZFHX4,0
TRPV4,4
GXYLT2,3
